,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
121,nicaragua,5264.0,153.0,4225.0,886.0,0.0,0.0,792.0,23.0
122,hong_kong,5176.0,105.0,4914.0,157.0,8.0,3311279.0,689.0,14.0
123,congo,5118.0,90.0,3887.0,1141.0,0.0,0.0,921.0,16.0
124,equatorial_guinea,5063.0,83.0,4894.0,86.0,2.0,62615.0,3578.0,59.0
125,trinidad_and_tobago,5021.0,89.0,3150.0,1782.0,14.0,33013.0,3585.0,64.0
126,suriname,5018.0,106.0,4816.0,96.0,4.0,15385.0,8533.0,180.0
127,bahamas,4955.0,106.0,2724.0,2125.0,112.0,24251.0,12567.0,269.0
128,rwanda,4890.0,30.0,3555.0,1305.0,0.0,514081.0,375.0,2.0
129,car,4853.0,62.0,1914.0,2877.0,2.0,32596.0,1000.0,13.0
130,sri_lanka,4628.0,13.0,3306.0,1309.0,0.0,321009.0,216.0,0.6
131,syria,4616.0,218.0,1235.0,3163.0,0.0,0.0,262.0,12.0
132,réunion,4491.0,16.0,3994.0,481.0,17.0,35419.0,5006.0,18.0
133,aruba,4188.0,32.0,3753.0,403.0,12.0,34305.0,39180.0,299.0
134,mayotte,3989.0,43.0,2964.0,982.0,4.0,13000.0,14528.0,157.0
135,somalia,3847.0,99.0,3079.0,669.0,0.0,0.0,240.0,6.0
136,estonia,3846.0,68.0,2946.0,832.0,3.0,231400.0,2899.0,51.0
137,malta,3681.0,41.0,2937.0,703.0,9.0,277626.0,8331.0,93.0
138,thailand,3634.0,59.0,3445.0,130.0,1.0,749213.0,52.0,0.8
139,gambia,3621.0,117.0,2489.0,1015.0,0.0,17926.0,1487.0,48.0
140,iceland,3460.0,10.0,2466.0,984.0,3.0,306489.0,10121.0,29.0
141,guyana,3358.0,100.0,2180.0,1078.0,15.0,15568.0,4264.0,127.0
142,mali,3273.0,132.0,2525.0,616.0,0.0,59397.0,160.0,6.0
143,botswana,3219.0,18.0,834.0,2367.0,1.0,224692.0,1361.0,8.0
144,south_sudan,2761.0,54.0,1290.0,1417.0,0.0,12044.0,246.0,5.0
145,french_polynesia,2754.0,10.0,2019.0,725.0,7.0,26355.0,9788.0,36.0
146,andorra,2696.0,55.0,1814.0,827.0,9.0,137457.0,34878.0,712.0
147,latvia,2596.0,40.0,1322.0,1234.0,4.0,358498.0,1381.0,21.0
148,belize,2427.0,35.0,1487.0,905.0,5.0,17072.0,6074.0,88.0
149,benin,2411.0,41.0,1973.0,397.0,0.0,203831.0,197.0,3.0
